description;stopPlaceId;stopPlaceName;transportType;type;isMultiModal
Sogn og Fjordane;NSR:StopPlace:57923;Måløy ferjekai;Ferje;;M
Sogn og Fjordane;NSR:StopPlace:34953;Måløy ferjekai;Buss;;M
Sogn og Fjordane;NSR:StopPlace:34996;Måløy terminal;Buss;;
Sogn og Fjordane;NSR:StopPlace:35453;Nordfjordeid rutebilstasjon;Buss;T;
Sogn og Fjordane;NSR:StopPlace:750;Sogndal lufthamn;Fly;;
Sogn og Fjordane;NSR:StopPlace:754;Førde lufthamn;Fly;;
Sogn og Fjordane;NSR:StopPlace:34152;Vieåsen;Buss;;
Sogn og Fjordane;NSR:StopPlace:36828;Ortnevik kai;Ferje;;M
Sogn og Fjordane;NSR:StopPlace:36227;Hoddevik;Buss;;
Sogn og Fjordane;NSR:StopPlace:34537;Håbakken;Buss;;
Møre og Romsdal;NSR:StopPlace:38775;Ålesund rutebilstasjon;Buss;T;
Møre og Romsdal;NSR:StopPlace:38768;Ålesund hurtigbåtkai;Båt;;
Møre og Romsdal;NSR:StopPlace:40841;Skateflukaia;Buss;;
Møre og Romsdal;NSR:StopPlace:40439;Molde ferjekai;Ferje;;
Møre og Romsdal;NSR:StopPlace:39382;Molde trafikkterminal;Buss;;
Møre og Romsdal;NSR:StopPlace:40443;Molde hurtigbåtkai;Båt;;
Møre og Romsdal;NSR:StopPlace:58042;Molde Hurtigrutekai;Båt;;
Møre og Romsdal;NSR:StopPlace:40122;Kristiansund trafikkterminal;Buss;T;
Møre og Romsdal;NSR:StopPlace:70153;Kristiansund Hurtigbåtterminal;Båt;;
Møre og Romsdal;NSR:StopPlace:58039;Kristiansund Hurtigrutekai;Båt;;
Møre og Romsdal;NSR:StopPlace:58184;Volda ferjekai;Ferje;;M
Møre og Romsdal;NSR:StopPlace:38250;Volda rutebilstasjon;Buss;;
Møre og Romsdal;NSR:StopPlace:40145;Surnadalsøra;Buss;;
Møre og Romsdal;NSR:StopPlace:40131;Sunndalsøra;Buss;;
Møre og Romsdal;NSR:StopPlace:70400;Edøy ferjekai;Buss;;M
Møre og Romsdal;NSR:StopPlace:763;Kristiansund lufthavn;Fly;;
Møre og Romsdal;NSR:StopPlace:40404;Moa trafikkterminal;Buss;T;
Møre og Romsdal;NSR:StopPlace:41231;Parkgata;Buss;;
Møre og Romsdal;NSR:StopPlace:39325;Fridtjof Nansens gate;Buss;;
Møre og Romsdal;NSR:StopPlace:40924;Nordheim;Buss;;
Møre og Romsdal;NSR:StopPlace:39829;Geiranger;Buss;;
Sør-Trøndelag;NSR:StopPlace:659;Trondheim S;Tog;;
Sør-Trøndelag;NSR:StopPlace:41742;Trondheim S;Buss;T;
Sør-Trøndelag;NSR:StopPlace:74006;Trondheim hurtigbåtterminal;Båt;;
Sør-Trøndelag;NSR:StopPlace:42831;Munkegata;Buss;;
Sør-Trøndelag;NSR:StopPlace:43583;Orkanger skysstasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:53;Røros;Tog;;
Sør-Trøndelag;NSR:StopPlace:41904;Røros skysstasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:723;Røros lufthavn;Fly;;
Sør-Trøndelag;NSR:StopPlace:603;Støren;Tog;;
Sør-Trøndelag;NSR:StopPlace:42707;Støren stasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:316;Oppdal;Tog;;
Sør-Trøndelag;NSR:StopPlace:43543;Oppdal skysstasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:42144;Sistranda busstasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:42655;Kyrksæterøra;Buss;;
Sør-Trøndelag;NSR:StopPlace:42030;Selbu skysstasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:74008;Brekstad kai;Båt;;
Sør-Trøndelag;NSR:StopPlace:42427;Åfjord skysstasjon;Buss;;
Sør-Trøndelag;NSR:StopPlace:43721;Bessaker kai;Båt;;
Sør-Trøndelag;NSR:StopPlace:42029;Høgskoleringen;Buss;;
Sør-Trøndelag;NSR:StopPlace:42752;Leangen allé;Buss;;
Sør-Trøndelag;NSR:StopPlace:42140;Isdammen;Buss;;
Sør-Trøndelag;NSR:StopPlace:42853;Syrstad;Buss;;
Nord-Trøndelag;NSR:StopPlace:712;Stjørdal;Tog;;
Nord-Trøndelag;NSR:StopPlace:44483;Stjørdal stasjon;Buss;;
Nord-Trøndelag;NSR:StopPlace:737;Trondheim lufthavn;Fly;;
Nord-Trøndelag;NSR:StopPlace:44286;Trondheim lufthavn;Buss;T;
Nord-Trøndelag;NSR:StopPlace:413;Levanger;Tog;;
Nord-Trøndelag;NSR:StopPlace:45170;Levanger stasjon;Buss;;
Nord-Trøndelag;NSR:StopPlace:46011;Levanger ferjekai;Båt;;
Nord-Trøndelag;NSR:StopPlace:714;Steinkjer;Tog;;
Nord-Trøndelag;NSR:StopPlace:45423;Steinkjer stasjon;Buss;;
Nord-Trøndelag;NSR:StopPlace:44379;Namsos skysstasjon;Buss;;
Nord-Trøndelag;NSR:StopPlace:44272;Namsos hurtigbåt;Buss;;
Nord-Trøndelag;NSR:StopPlace:721;Namsos lufthavn;Fly;;
Nord-Trøndelag;NSR:StopPlace:351;Grong;Tog;;
Nord-Trøndelag;NSR:StopPlace:44550;Grong stasjon;Buss;;
Nord-Trøndelag;NSR:StopPlace:45086;Tinna;Buss;;
Nord-Trøndelag;NSR:StopPlace:46640;Mosvik;Buss;;
Nord-Trøndelag;NSR:StopPlace:44802;Vanvikan;Buss;;
Nord-Trøndelag;NSR:StopPlace:58018;Rørvik hurtigbåtkai;Båt;;
Nord-Trøndelag;NSR:StopPlace:58058;Rørvik Hurtigrutekai;Båt;;
Nord-Trøndelag;NSR:StopPlace:46160;Garstad;Buss;;
Nord-Trøndelag;NSR:StopPlace:44396;Røyrvik;Buss;;
Nordland;NSR:StopPlace:507;Bodø;Tog;;
Nordland;NSR:StopPlace:49739;Bodø sentrumsterminalen kai;Båt;;
Nordland;NSR:StopPlace:51007;Bodø sentrum;Buss;;
Nordland;NSR:StopPlace:734;Bodø lufthavn;Fly;;
Nordland;NSR:StopPlace:58234;Narvik;Tog;;
Nordland;NSR:StopPlace:47427;Narvik Rutebilstasjonen;Buss;;
Nordland;NSR:StopPlace:195;Mo i Rana;Tog;;
Nordland;NSR:StopPlace:50869;Mo stasjon;Buss;;
Nordland;NSR:StopPlace:211;Mosjøen;Tog;;
Nordland;NSR:StopPlace:47168;Mosjøen rutebilstasjon;Buss;;
Nordland;NSR:StopPlace:51542;Sandnessjøen bussterminal;Buss;;
Nordland;NSR:StopPlace:47666;Sandnessjøen ferjekai;Ferje;;
Nordland;NSR:StopPlace:51790;Brønnøysund sentrum;Buss;;
Nordland;NSR:StopPlace:47293;Svolvær sentrum;Buss;;
Nordland;NSR:StopPlace:50466;Myrvollveien;Buss;;
Nordland;NSR:StopPlace:46978;Hattfjelldal;Buss;;
Nordland;NSR:StopPlace:46924;Stokkvågen kryss;Buss;;
Nordland;NSR:StopPlace:47301;Moskenes ferjekai;Ferje;;
Troms;NSR:StopPlace:52142;Harstad Byterminal;Buss;T;
Troms;NSR:StopPlace:70023;Harstad hurtigbåtkai;Båt;;
Troms;NSR:StopPlace:52273;Tromsø Prostneset HR;Buss;;
Troms;NSR:StopPlace:52279;Tromsø Prostneset;Båt;;
Troms;NSR:StopPlace:55683;Fredrik Langes gate;Buss;T;
Troms;NSR:StopPlace:55423;Finnsnes TIRB;Buss;;
Troms;NSR:StopPlace:55427;Finnsnes;Båt;;
Troms;NSR:StopPlace:54474;Storslett terminal;Buss;T;
Troms;NSR:StopPlace:55478;Bardufoss sentrum;Buss;;
Troms;NSR:StopPlace:757;Bardufoss lufthavn;Fly;;
Troms;NSR:StopPlace:55474;Bardufoss lufthavn;Buss;;
Troms;NSR:StopPlace:52115;Torsken;Buss;;
Troms;NSR:StopPlace:53434;Klimavegen;Buss;;
Troms;NSR:StopPlace:55902;Giæverbukta;Buss;T;
Troms;NSR:StopPlace:736;Tromsø lufthavn;Fly;;
Troms;NSR:StopPlace:53630;Skjervøy kai;Båt;;
Troms;NSR:StopPlace:52686;Vannareid kryss;Buss;;
Finnmark;NSR:StopPlace:56826;Alta sentrum;Buss;T;
Finnmark;NSR:StopPlace:57097;Alta hurtigbåtterminal;Båt;;
Finnmark;NSR:StopPlace:755;Alta lufthavn;Fly;;
Finnmark;NSR:StopPlace:56676;Hammerfest bussterminal;Buss;T;
Finnmark;NSR:StopPlace:57515;Lakselv bussterminal;Buss;T;
Finnmark;NSR:StopPlace:56851;Hammerfest havn;Båt;;
Finnmark;NSR:StopPlace:57343;Tana Bru bussterminal;Buss;T;
Finnmark;NSR:StopPlace:58041;Kirkenes Hurtigrutekai;Båt;;
Finnmark;NSR:StopPlace:56963;Kirkenes kai;Buss;;
Finnmark;NSR:StopPlace:56927;Jarfjordbotn kryss;Buss;;
Finnmark;NSR:StopPlace:56953;Svanvik;Buss;;
Finnmark;NSR:StopPlace:57163;Vadsø bussterminal;Buss;T;
Finnmark;NSR:StopPlace:57152;Bergstien;Buss;;
Finnmark;NSR:StopPlace:57095;Vardø rådhus;Buss;;
Finnmark;NSR:StopPlace:56838;Berlevåg;Buss;;
Finnmark;NSR:StopPlace:57406;Honningsvåg/Nordkapphuset;Buss;T;
Finnmark;NSR:StopPlace:57125;Kongshus kai;Ferje;;
Finnmark;NSR:StopPlace:57018;Kautokeino;Buss;;
Finnmark;NSR:StopPlace:56754;Karasjok bussterminal;Buss;T;
Finnmark;NSR:StopPlace:57266;Dalbakken;Buss;;
Finnmark;NSR:StopPlace:57055;Skajaluft;Buss;;
